candidate,gender,party,count,transfer,total,condition,constituency_x,quota,seats,constituency_y
"Fleming, Michael",M,Non-party,3,188.0,4582.0,Continuing,Dublin Rathdown,9752,4,Dublin Rathdown
"Gibney, Sinéad",F,Social Democrats,3,15.0,4296.0,Continuing,Dublin Rathdown,9752,4,Dublin Rathdown
"Martin, Catherine",F,Green Party,3,14.0,4175.0,Continuing,Dublin Rathdown,9752,4,Dublin Rathdown
"McCafferty, Garrett",M,The National Party,3,-367.0,0.0,Eliminated,Dublin Rathdown,9752,4,Dublin Rathdown
"McCarthy, Lettie",F,Labour Party,3,14.0,3068.0,Continuing,Dublin Rathdown,9752,4,Dublin Rathdown
"Murphy, Conor",M,Non-party,3,-66.0,0.0,Eliminated,Dublin Rathdown,9752,4,Dublin Rathdown
"Ní Aonghusa, Síomha",F,People Before Profit-Solidarity,3,15.0,1351.0,Continuing,Dublin Rathdown,9752,4,Dublin Rathdown
"O'Connell, Maeve",F,Fine Gael,3,26.0,6599.0,Continuing,Dublin Rathdown,9752,4,Dublin Rathdown
"Richmond, Neale",M,Fine Gael,3,0.0,9752.0,Elected,Dublin Rathdown,9752,4,Dublin Rathdown
"Shatter, Alan",M,Non-party,3,59.0,1852.0,Continuing,Dublin Rathdown,9752,4,Dublin Rathdown
"Tracey, Shaun",M,Sinn Féin,3,38.0,3590.0,Continuing,Dublin Rathdown,9752,4,Dublin Rathdown
"Brennan, Shay",M,Fianna Fáil,4,15.0,5993.0,Continuing,Dublin Rathdown,9752,4,Dublin Rathdown
"Coughlan, Liam",M,Aontú,4,34.0,2075.0,Continuing,Dublin Rathdown,9752,4,Dublin Rathdown
"Daly, Kevin",M,Non-party,4,0.0,0.0,Eliminated,Dublin Rathdown,9752,4,Dublin Rathdown
"Dunne, Elaine Mary",F,Fianna Fáil,4,4.0,1443.0,Continuing,Dublin Rathdown,9752,4,Dublin Rathdown
"Fleming, Michael",M,Non-party,4,64.0,4646.0,Continuing,Dublin Rathdown,9752,4,Dublin Rathdown
"Gibney, Sinéad",F,Social Democrats,4,643.0,4939.0,Continuing,Dublin Rathdown,9752,4,Dublin Rathdown
"Martin, Catherine",F,Green Party,4,87.0,4262.0,Continuing,Dublin Rathdown,9752,4,Dublin Rathdown
"McCafferty, Garrett",M,The National Party,4,0.0,0.0,Eliminated,Dublin Rathdown,9752,4,Dublin Rathdown
"McCarthy, Lettie",F,Labour Party,4,114.0,3182.0,Continuing,Dublin Rathdown,9752,4,Dublin Rathdown
"Murphy, Conor",M,Non-party,4,0.0,0.0,Eliminated,Dublin Rathdown,9752,4,Dublin Rathdown
"Ní Aonghusa, Síomha",F,People Before Profit-Solidarity,4,-1351.0,0.0,Eliminated,Dublin Rathdown,9752,4,Dublin Rathdown
"O'Connell, Maeve",F,Fine Gael,4,21.0,6620.0,Continuing,Dublin Rathdown,9752,4,Dublin Rathdown
"Richmond, Neale",M,Fine Gael,4,0.0,9752.0,Elected,Dublin Rathdown,9752,4,Dublin Rathdown
"Shatter, Alan",M,Non-party,4,41.0,1893.0,Continuing,Dublin Rathdown,9752,4,Dublin Rathdown
"Tracey, Shaun",M,Sinn Féin,4,306.0,3896.0,Continuing,Dublin Rathdown,9752,4,Dublin Rathdown
"Brennan, Shay",M,Fianna Fáil,5,830.0,6823.0,Continuing,Dublin Rathdown,9752,4,Dublin Rathdown
"Coughlan, Liam",M,Aontú,5,22.0,2097.0,Continuing,Dublin Rathdown,9752,4,Dublin Rathdown
"Daly, Kevin",M,Non-party,5,0.0,0.0,Eliminated,Dublin Rathdown,9752,4,Dublin Rathdown
"Dunne, Elaine Mary",F,Fianna Fáil,5,-1443.0,0.0,Eliminated,Dublin Rathdown,9752,4,Dublin Rathdown
"Fleming, Michael",M,Non-party,5,96.0,4742.0,Continuing,Dublin Rathdown,9752,4,Dublin Rathdown
"Gibney, Sinéad",F,Social Democrats,5,50.0,4989.0,Continuing,Dublin Rathdown,9752,4,Dublin Rathdown
"Martin, Catherine",F,Green Party,5,68.0,4330.0,Continuing,Dublin Rathdown,9752,4,Dublin Rathdown
"McCafferty, Garrett",M,The National Party,5,0.0,0.0,Eliminated,Dublin Rathdown,9752,4,Dublin Rathdown
"McCarthy, Lettie",F,Labour Party,5,68.0,3250.0,Continuing,Dublin Rathdown,9752,4,Dublin Rathdown
"Murphy, Conor",M,Non-party,5,0.0,0.0,Eliminated,Dublin Rathdown,9752,4,Dublin Rathdown
"Ní Aonghusa, Síomha",F,People Before Profit-Solidarity,5,0.0,0.0,Eliminated,Dublin Rathdown,9752,4,Dublin Rathdown
"O'Connell, Maeve",F,Fine Gael,5,238.0,6858.0,Continuing,Dublin Rathdown,9752,4,Dublin Rathdown
"Richmond, Neale",M,Fine Gael,5,0.0,9752.0,Elected,Dublin Rathdown,9752,4,Dublin Rathdown
"Shatter, Alan",M,Non-party,5,32.0,1925.0,Continuing,Dublin Rathdown,9752,4,Dublin Rathdown
"Tracey, Shaun",M,Sinn Féin,5,17.0,3913.0,Continuing,Dublin Rathdown,9752,4,Dublin Rathdown
"Brennan, Shay",M,Fianna Fáil,6,376.0,7199.0,Continuing,Dublin Rathdown,9752,4,Dublin Rathdown
"Coughlan, Liam",M,Aontú,6,170.0,2267.0,Continuing,Dublin Rathdown,9752,4,Dublin Rathdown
"Daly, Kevin",M,Non-party,6,0.0,0.0,Eliminated,Dublin Rathdown,9752,4,Dublin Rathdown
"Dunne, Elaine Mary",F,Fianna Fáil,6,0.0,0.0,Eliminated,Dublin Rathdown,9752,4,Dublin Rathdown
"Fleming, Michael",M,Non-party,6,293.0,5035.0,Continuing,Dublin Rathdown,9752,4,Dublin Rathdown
"Gibney, Sinéad",F,Social Democrats,6,91.0,5080.0,Continuing,Dublin Rathdown,9752,4,Dublin Rathdown
"Martin, Catherine",F,Green Party,6,142.0,4472.0,Continuing,Dublin Rathdown,9752,4,Dublin Rathdown
"McCafferty, Garrett",M,The National Party,6,0.0,0.0,Eliminated,Dublin Rathdown,9752,4,Dublin Rathdown
"McCarthy, Lettie",F,Labour Party,6,132.0,3382.0,Continuing,Dublin Rathdown,9752,4,Dublin Rathdown
"Murphy, Conor",M,Non-party,6,0.0,0.0,Eliminated,Dublin Rathdown,9752,4,Dublin Rathdown
"Ní Aonghusa, Síomha",F,People Before Profit-Solidarity,6,0.0,0.0,Eliminated,Dublin Rathdown,9752,4,Dublin Rathdown
"O'Connell, Maeve",F,Fine Gael,6,582.0,7440.0,Continuing,Dublin Rathdown,9752,4,Dublin Rathdown
"Richmond, Neale",M,Fine Gael,6,0.0,9752.0,Elected,Dublin Rathdown,9752,4,Dublin Rathdown
"Shatter, Alan",M,Non-party,6,-1925.0,0.0,Eliminated,Dublin Rathdown,9752,4,Dublin Rathdown
"Tracey, Shaun",M,Sinn Féin,6,63.0,3976.0,Continuing,Dublin Rathdown,9752,4,Dublin Rathdown
"Brennan, Shay",M,Fianna Fáil,7,402.0,7601.0,Continuing,Dublin Rathdown,9752,4,Dublin Rathdown
"Coughlan, Liam",M,Aontú,7,-2267.0,0.0,Eliminated,Dublin Rathdown,9752,4,Dublin Rathdown
"Daly, Kevin",M,Non-party,7,0.0,0.0,Eliminated,Dublin Rathdown,9752,4,Dublin Rathdown
"Dunne, Elaine Mary",F,Fianna Fáil,7,0.0,0.0,Eliminated,Dublin Rathdown,9752,4,Dublin Rathdown
"Fleming, Michael",M,Non-party,7,826.0,5861.0,Continuing,Dublin Rathdown,9752,4,Dublin Rathdown
"Gibney, Sinéad",F,Social Democrats,7,134.0,5214.0,Continuing,Dublin Rathdown,9752,4,Dublin Rathdown
"Martin, Catherine",F,Green Party,7,88.0,4560.0,Continuing,Dublin Rathdown,9752,4,Dublin Rathdown
"McCafferty, Garrett",M,The National Party,7,0.0,0.0,Eliminated,Dublin Rathdown,9752,4,Dublin Rathdown
"McCarthy, Lettie",F,Labour Party,7,96.0,3478.0,Continuing,Dublin Rathdown,9752,4,Dublin Rathdown
"Murphy, Conor",M,Non-party,7,0.0,0.0,Eliminated,Dublin Rathdown,9752,4,Dublin Rathdown
"Ní Aonghusa, Síomha",F,People Before Profit-Solidarity,7,0.0,0.0,Eliminated,Dublin Rathdown,9752,4,Dublin Rathdown
"O'Connell, Maeve",F,Fine Gael,7,175.0,7615.0,Continuing,Dublin Rathdown,9752,4,Dublin Rathdown
"Richmond, Neale",M,Fine Gael,7,0.0,9752.0,Elected,Dublin Rathdown,9752,4,Dublin Rathdown
"Shatter, Alan",M,Non-party,7,0.0,0.0,Eliminated,Dublin Rathdown,9752,4,Dublin Rathdown
"Tracey, Shaun",M,Sinn Féin,7,247.0,4223.0,Continuing,Dublin Rathdown,9752,4,Dublin Rathdown
"Brennan, Shay",M,Fianna Fáil,8,307.0,7908.0,Continuing,Dublin Rathdown,9752,4,Dublin Rathdown
"Coughlan, Liam",M,Aontú,8,0.0,0.0,Eliminated,Dublin Rathdown,9752,4,Dublin Rathdown
"Daly, Kevin",M,Non-party,8,0.0,0.0,Eliminated,Dublin Rathdown,9752,4,Dublin Rathdown
"Dunne, Elaine Mary",F,Fianna Fáil,8,0.0,0.0,Eliminated,Dublin Rathdown,9752,4,Dublin Rathdown
"Fleming, Michael",M,Non-party,8,430.0,6291.0,Continuing,Dublin Rathdown,9752,4,Dublin Rathdown
"Gibney, Sinéad",F,Social Democrats,8,1030.0,6244.0,Continuing,Dublin Rathdown,9752,4,Dublin Rathdown
"Martin, Catherine",F,Green Party,8,920.0,5480.0,Continuing,Dublin Rathdown,9752,4,Dublin Rathdown
"McCafferty, Garrett",M,The National Party,8,0.0,0.0,Eliminated,Dublin Rathdown,9752,4,Dublin Rathdown
"McCarthy, Lettie",F,Labour Party,8,-3478.0,0.0,Eliminated,Dublin Rathdown,9752,4,Dublin Rathdown
"Murphy, Conor",M,Non-party,8,0.0,0.0,Eliminated,Dublin Rathdown,9752,4,Dublin Rathdown
"Ní Aonghusa, Síomha",F,People Before Profit-Solidarity,8,0.0,0.0,Eliminated,Dublin Rathdown,9752,4,Dublin Rathdown
"O'Connell, Maeve",F,Fine Gael,8,508.0,8123.0,Continuing,Dublin Rathdown,9752,4,Dublin Rathdown
"Richmond, Neale",M,Fine Gael,8,0.0,9752.0,Elected,Dublin Rathdown,9752,4,Dublin Rathdown
"Shatter, Alan",M,Non-party,8,0.0,0.0,Eliminated,Dublin Rathdown,9752,4,Dublin Rathdown
"Tracey, Shaun",M,Sinn Féin,8,159.0,4382.0,Continuing,Dublin Rathdown,9752,4,Dublin Rathdown
"Brennan, Shay",M,Fianna Fáil,9,188.0,8096.0,Continuing,Dublin Rathdown,9752,4,Dublin Rathdown
"Coughlan, Liam",M,Aontú,9,0.0,0.0,Eliminated,Dublin Rathdown,9752,4,Dublin Rathdown
"Daly, Kevin",M,Non-party,9,0.0,0.0,Eliminated,Dublin Rathdown,9752,4,Dublin Rathdown
"Dunne, Elaine Mary",F,Fianna Fáil,9,0.0,0.0,Eliminated,Dublin Rathdown,9752,4,Dublin Rathdown
"Fleming, Michael",M,Non-party,9,1195.0,7486.0,Continuing,Dublin Rathdown,9752,4,Dublin Rathdown
"Gibney, Sinéad",F,Social Democrats,9,1881.0,8125.0,Continuing,Dublin Rathdown,9752,4,Dublin Rathdown
"Martin, Catherine",F,Green Party,9,401.0,5881.0,Continuing,Dublin Rathdown,9752,4,Dublin Rathdown
"McCafferty, Garrett",M,The National Party,9,0.0,0.0,Eliminated,Dublin Rathdown,9752,4,Dublin Rathdown
"McCarthy, Lettie",F,Labour Party,9,0.0,0.0,Eliminated,Dublin Rathdown,9752,4,Dublin Rathdown
"Murphy, Conor",M,Non-party,9,0.0,0.0,Eliminated,Dublin Rathdown,9752,4,Dublin Rathdown
"Ní Aonghusa, Síomha",F,People Before Profit-Solidarity,9,0.0,0.0,Eliminated,Dublin Rathdown,9752,4,Dublin Rathdown
"O'Connell, Maeve",F,Fine Gael,9,95.0,8218.0,Continuing,Dublin Rathdown,9752,4,Dublin Rathdown
"Richmond, Neale",M,Fine Gael,9,0.0,9752.0,Elected,Dublin Rathdown,9752,4,Dublin Rathdown
"Shatter, Alan",M,Non-party,9,0.0,0.0,Eliminated,Dublin Rathdown,9752,4,Dublin Rathdown
"Tracey, Shaun",M,Sinn Féin,9,-4382.0,0.0,Eliminated,Dublin Rathdown,9752,4,Dublin Rathdown
"Brennan, Shay",M,Fianna Fáil,10,903.0,8999.0,Elected,Dublin Rathdown,9752,4,Dublin Rathdown
"Coughlan, Liam",M,Aontú,10,0.0,0.0,Eliminated,Dublin Rathdown,9752,4,Dublin Rathdown
"Daly, Kevin",M,Non-party,10,0.0,0.0,Eliminated,Dublin Rathdown,9752,4,Dublin Rathdown
"Dunne, Elaine Mary",F,Fianna Fáil,10,0.0,0.0,Eliminated,Dublin Rathdown,9752,4,Dublin Rathdown
"Fleming, Michael",M,Non-party,10,516.0,8002.0,Continuing,Dublin Rathdown,9752,4,Dublin Rathdown
"Gibney, Sinéad",F,Social Democrats,10,2487.0,10612.0,Elected,Dublin Rathdown,9752,4,Dublin Rathdown
"Martin, Catherine",F,Green Party,10,-5881.0,0.0,Eliminated,Dublin Rathdown,9752,4,Dublin Rathdown
"McCafferty, Garrett",M,The National Party,10,0.0,0.0,Eliminated,Dublin Rathdown,9752,4,Dublin Rathdown
"McCarthy, Lettie",F,Labour Party,10,0.0,0.0,Eliminated,Dublin Rathdown,9752,4,Dublin Rathdown
"Murphy, Conor",M,Non-party,10,0.0,0.0,Eliminated,Dublin Rathdown,9752,4,Dublin Rathdown
"Ní Aonghusa, Síomha",F,People Before Profit-Solidarity,10,0.0,0.0,Eliminated,Dublin Rathdown,9752,4,Dublin Rathdown
"O'Connell, Maeve",F,Fine Gael,10,1534.0,9752.0,Elected,Dublin Rathdown,9752,4,Dublin Rathdown
"Richmond, Neale",M,Fine Gael,10,0.0,9752.0,Elected,Dublin Rathdown,9752,4,Dublin Rathdown
"Shatter, Alan",M,Non-party,10,0.0,0.0,Eliminated,Dublin Rathdown,9752,4,Dublin Rathdown
"Tracey, Shaun",M,Sinn Féin,10,0.0,0.0,Eliminated,Dublin Rathdown,9752,4,Dublin Rathdown
"Aird, William",M,Fine Gael,1,0.0,9269.0,Continuing,Laois,9570,3,Laois
"Flanagan, Pauline",F,Non-party,1,0.0,578.0,Continuing,Laois,9570,3,Laois
"Fleming, Sean",M,Fianna Fáil,1,0.0,8123.0,Continuing,Laois,9570,3,Laois
"Hande, Mary",F,Aontú,1,0.0,1038.0,Continuing,Laois,9570,3,Laois
"Lynch, Jason",M,Non-party,1,0.0,170.0,Continuing,Laois,9570,3,Laois
"McCormack, Maria",F,Sinn Féin,1,0.0,4914.0,Continuing,Laois,9570,3,Laois
"Mooney, Ken",M,People Before Profit-Solidarity,1,0.0,745.0,Continuing,Laois,9570,3,Laois
"Moran, Aisling",F,Non-party,1,0.0,2970.0,Continuing,Laois,9570,3,Laois
"Mullally, Elaine",F,Non-party,1,0.0,2438.0,Continuing,Laois,9570,3,Laois
"Palmer, Rosie",F,Green Party,1,0.0,747.0,Continuing,Laois,9570,3,Laois
"Stack, Austin",M,Fianna Fáil,1,0.0,502.0,Continuing,Laois,9570,3,Laois
"Stanley, Brian",M,Non-party,1,0.0,6782.0,Continuing,Laois,9570,3,Laois
"Aird, William",M,Fine Gael,2,20.0,9289.0,Continuing,Laois,9570,3,Laois
"Flanagan, Pauline",F,Non-party,2,26.0,604.0,Continuing,Laois,9570,3,Laois
"Fleming, Sean",M,Fianna Fáil,2,9.0,8132.0,Continuing,Laois,9570,3,Laois
"Hande, Mary",F,Aontú,2,4.0,1042.0,Continuing,Laois,9570,3,Laois
"Lynch, Jason",M,Non-party,2,-170.0,0.0,Eliminated,Laois,9570,3,Laois
"McCormack, Maria",F,Sinn Féin,2,11.0,4925.0,Continuing,Laois,9570,3,Laois
"Mooney, Ken",M,People Before Profit-Solidarity,2,12.0,757.0,Continuing,Laois,9570,3,Laois
"Moran, Aisling",F,Non-party,2,26.0,2996.0,Continuing,Laois,9570,3,Laois
"Mullally, Elaine",F,Non-party,2,25.0,2463.0,Continuing,Laois,9570,3,Laois
"Palmer, Rosie",F,Green Party,2,5.0,752.0,Continuing,Laois,9570,3,Laois
"Stack, Austin",M,Fianna Fáil,2,0.0,502.0,Continuing,Laois,9570,3,Laois
"Stanley, Brian",M,Non-party,2,22.0,6804.0,Continuing,Laois,9570,3,Laois
"Aird, William",M,Fine Gael,3,87.0,9376.0,Continuing,Laois,9570,3,Laois
"Flanagan, Pauline",F,Non-party,3,6.0,610.0,Continuing,Laois,9570,3,Laois
"Fleming, Sean",M,Fianna Fáil,3,273.0,8405.0,Continuing,Laois,9570,3,Laois
"Hande, Mary",F,Aontú,3,9.0,1051.0,Continuing,Laois,9570,3,Laois
"Lynch, Jason",M,Non-party,3,0.0,0.0,Eliminated,Laois,9570,3,Laois
"McCormack, Maria",F,Sinn Féin,3,9.0,4934.0,Continuing,Laois,9570,3,Laois
"Mooney, Ken",M,People Before Profit-Solidarity,3,10.0,767.0,Continuing,Laois,9570,3,Laois
"Moran, Aisling",F,Non-party,3,17.0,3013.0,Continuing,Laois,9570,3,Laois
"Mullally, Elaine",F,Non-party,3,21.0,2484.0,Continuing,Laois,9570,3,Laois
"Palmer, Rosie",F,Green Party,3,8.0,760.0,Continuing,Laois,9570,3,Laois
"Stack, Austin",M,Fianna Fáil,3,-502.0,0.0,Eliminated,Laois,9570,3,Laois
"Stanley, Brian",M,Non-party,3,54.0,6858.0,Continuing,Laois,9570,3,Laois
"Aird, William",M,Fine Gael,4,94.0,9470.0,Continuing,Laois,9570,3,Laois
"Flanagan, Pauline",F,Non-party,4,-610.0,0.0,Eliminated,Laois,9570,3,Laois
"Fleming, Sean",M,Fianna Fáil,4,64.0,8469.0,Continuing,Laois,9570,3,Laois
"Hande, Mary",F,Aontú,4,40.0,1091.0,Continuing,Laois,9570,3,Laois
"Lynch, Jason",M,Non-party,4,0.0,0.0,Eliminated,Laois,9570,3,Laois
"McCormack, Maria",F,Sinn Féin,4,50.0,4984.0,Continuing,Laois,9570,3,Laois
"Mooney, Ken",M,People Before Profit-Solidarity,4,28.0,795.0,Continuing,Laois,9570,3,Laois
"Moran, Aisling",F,Non-party,4,117.0,3130.0,Continuing,Laois,9570,3,Laois
"Mullally, Elaine",F,Non-party,4,77.0,2561.0,Continuing,Laois,9570,3,Laois
"Palmer, Rosie",F,Green Party,4,28.0,788.0,Continuing,Laois,9570,3,Laois
"Stack, Austin",M,Fianna Fáil,4,0.0,0.0,Eliminated,Laois,9570,3,Laois
"Stanley, Brian",M,Non-party,4,87.0,6945.0,Continuing,Laois,9570,3,Laois
"Aird, William",M,Fine Gael,5,149.0,9619.0,Elected,Laois,9570,3,Laois
"Flanagan, Pauline",F,Non-party,5,0.0,0.0,Eliminated,Laois,9570,3,Laois
"Fleming, Sean",M,Fianna Fáil,5,121.0,8590.0,Continuing,Laois,9570,3,Laois
"Hande, Mary",F,Aontú,5,17.0,1108.0,Continuing,Laois,9570,3,Laois
"Lynch, Jason",M,Non-party,5,0.0,0.0,Eliminated,Laois,9570,3,Laois
"McCormack, Maria",F,Sinn Féin,5,56.0,5040.0,Continuing,Laois,9570,3,Laois
"Mooney, Ken",M,People Before Profit-Solidarity,5,159.0,954.0,Continuing,Laois,9570,3,Laois
"Moran, Aisling",F,Non-party,5,144.0,3274.0,Continuing,Laois,9570,3,Laois
"Mullally, Elaine",F,Non-party,5,45.0,2606.0,Continuing,Laois,9570,3,Laois
"Palmer, Rosie",F,Green Party,5,-788.0,0.0,Eliminated,Laois,9570,3,Laois
"Stack, Austin",M,Fianna Fáil,5,0.0,0.0,Eliminated,Laois,9570,3,Laois
"Stanley, Brian",M,Non-party,5,70.0,7015.0,Continuing,Laois,9570,3,Laois
"Aird, William",M,Fine Gael,6,0.0,9619.0,Elected,Laois,9570,3,Laois
"Flanagan, Pauline",F,Non-party,6,0.0,0.0,Eliminated,Laois,9570,3,Laois
"Fleming, Sean",M,Fianna Fáil,6,282.0,8872.0,Continuing,Laois,9570,3,Laois
"Hande, Mary",F,Aontú,6,-1108.0,0.0,Eliminated,Laois,9570,3,Laois
"Lynch, Jason",M,Non-party,6,0.0,0.0,Eliminated,Laois,9570,3,Laois
"McCormack, Maria",F,Sinn Féin,6,498.0,5538.0,Continuing,Laois,9570,3,Laois
"Mooney, Ken",M,People Before Profit-Solidarity,6,-954.0,0.0,Eliminated,Laois,9570,3,Laois
"Moran, Aisling",F,Non-party,6,378.0,3652.0,Continuing,Laois,9570,3,Laois
"Mullally, Elaine",F,Non-party,6,353.0,2959.0,Continuing,Laois,9570,3,Laois
"Palmer, Rosie",F,Green Party,6,0.0,0.0,Eliminated,Laois,9570,3,Laois
"Stack, Austin",M,Fianna Fáil,6,0.0,0.0,Eliminated,Laois,9570,3,Laois
"Stanley, Brian",M,Non-party,6,329.0,7344.0,Continuing,Laois,9570,3,Laois
"Aird, William",M,Fine Gael,7,0.0,9619.0,Elected,Laois,9570,3,Laois
"Flanagan, Pauline",F,Non-party,7,0.0,0.0,Eliminated,Laois,9570,3,Laois
"Fleming, Sean",M,Fianna Fáil,7,510.0,9382.0,Continuing,Laois,9570,3,Laois
"Hande, Mary",F,Aontú,7,0.0,0.0,Eliminated,Laois,9570,3,Laois
"Lynch, Jason",M,Non-party,7,0.0,0.0,Eliminated,Laois,9570,3,Laois
"McCormack, Maria",F,Sinn Féin,7,350.0,5888.0,Continuing,Laois,9570,3,Laois
"Mooney, Ken",M,People Before Profit-Solidarity,7,0.0,0.0,Eliminated,Laois,9570,3,Laois
"Moran, Aisling",F,Non-party,7,719.0,4371.0,Continuing,Laois,9570,3,Laois
"Mullally, Elaine",F,Non-party,7,-2959.0,0.0,Eliminated,Laois,9570,3,Laois
"Palmer, Rosie",F,Green Party,7,0.0,0.0,Eliminated,Laois,9570,3,Laois
"Stack, Austin",M,Fianna Fáil,7,0.0,0.0,Eliminated,Laois,9570,3,Laois
"Stanley, Brian",M,Non-party,7,826.0,8170.0,Continuing,Laois,9570,3,Laois
"Aird, William",M,Fine Gael,8,0.0,9619.0,Elected,Laois,9570,3,Laois
"Flanagan, Pauline",F,Non-party,8,0.0,0.0,Eliminated,Laois,9570,3,Laois
"Fleming, Sean",M,Fianna Fáil,8,1311.0,10693.0,Elected,Laois,9570,3,Laois
"Hande, Mary",F,Aontú,8,0.0,0.0,Eliminated,Laois,9570,3,Laois
"Lynch, Jason",M,Non-party,8,0.0,0.0,Eliminated,Laois,9570,3,Laois
"McCormack, Maria",F,Sinn Féin,8,677.0,6565.0,Continuing,Laois,9570,3,Laois
"Mooney, Ken",M,People Before Profit-Solidarity,8,0.0,0.0,Eliminated,Laois,9570,3,Laois
"Moran, Aisling",F,Non-party,8,-4371.0,0.0,Eliminated,Laois,9570,3,Laois
"Mullally, Elaine",F,Non-party,8,0.0,0.0,Eliminated,Laois,9570,3,Laois
"Palmer, Rosie",F,Green Party,8,0.0,0.0,Eliminated,Laois,9570,3,Laois
"Stack, Austin",M,Fianna Fáil,8,0.0,0.0,Eliminated,Laois,9570,3,Laois
"Stanley, Brian",M,Non-party,8,1342.0,9512.0,Elected,Laois,9570,3,Laois
"Carey, Leonora",F,Fine Gael,1,0.0,5251.0,Continuing,Clare,12182,4,Clare
"Cooney, Joe",M,Fine Gael,1,0.0,7575.0,Continuing,Clare,12182,4,Clare
"Crowe, Cathal",M,Fianna Fáil,1,0.0,8261.0,Continuing,Clare,12182,4,Clare
"Dillon, June",F,Aontú,1,0.0,2099.0,Continuing,Clare,12182,4,Clare
"Dooley, Timmy",M,Fianna Fáil,1,0.0,11313.0,Continuing,Clare,12182,4,Clare
"Garvey, Róisín",F,Green Party,1,0.0,3770.0,Continuing,Clare,12182,4,Clare
"Hassett, Kevin",M,Non-party,1,0.0,670.0,Continuing,Clare,12182,4,Clare
"Leahy, Michael",M,Irish Freedom Party,1,0.0,1282.0,Continuing,Clare,12182,4,Clare
"Loughrey, Michael",M,The Irish People,1,0.0,101.0,Continuing,Clare,12182,4,Clare
"Major, Amanda",F,Non-party,1,0.0,205.0,Continuing,Clare,12182,4,Clare
"McGettigan, Donna",F,Sinn Féin,1,0.0,7843.0,Continuing,Clare,12182,4,Clare
"McInerney, Rita",F,Fianna Fáil,1,0.0,3473.0,Continuing,Clare,12182,4,Clare
"Moroney, Matthew",M,Non-party,1,0.0,538.0,Continuing,Clare,12182,4,Clare
"Murphy, Paddy",M,Non-party,1,0.0,443.0,Continuing,Clare,12182,4,Clare
"Ní Chatháin, Caitríona",F,People Before Profit-Solidarity,1,0.0,820.0,Continuing,Clare,12182,4,Clare
"Nolan, Tom",M,Fine Gael,1,0.0,2139.0,Continuing,Clare,12182,4,Clare
"O'Donovan, Barry",M,Rabharta (Munster and Leinster),1,0.0,87.0,Continuing,Clare,12182,4,Clare
"Punch, Eddie",M,Independent Ireland,1,0.0,2583.0,Continuing,Clare,12182,4,Clare
"Tonge, Hilary",F,Social Democrats,1,0.0,2144.0,Continuing,Clare,12182,4,Clare
"Wynne, Violet-Anne",F,Non-party,1,0.0,310.0,Continuing,Clare,12182,4,Clare
"Carey, Leonora",F,Fine Gael,2,3.0,5254.0,Continuing,Clare,12182,4,Clare
"Cooney, Joe",M,Fine Gael,2,3.0,7578.0,Continuing,Clare,12182,4,Clare
"Crowe, Cathal",M,Fianna Fáil,2,5.0,8266.0,Continuing,Clare,12182,4,Clare
"Dillon, June",F,Aontú,2,9.0,2108.0,Continuing,Clare,12182,4,Clare
"Dooley, Timmy",M,Fianna Fáil,2,6.0,11319.0,Continuing,Clare,12182,4,Clare
"Garvey, Róisín",F,Green Party,2,11.0,3781.0,Continuing,Clare,12182,4,Clare
"Hassett, Kevin",M,Non-party,2,5.0,675.0,Continuing,Clare,12182,4,Clare
"Leahy, Michael",M,Irish Freedom Party,2,51.0,1333.0,Continuing,Clare,12182,4,Clare
"Loughrey, Michael",M,The Irish People,2,-101.0,0.0,Eliminated,Clare,12182,4,Clare
"Major, Amanda",F,Non-party,2,3.0,208.0,Continuing,Clare,12182,4,Clare
"McGettigan, Donna",F,Sinn Féin,2,10.0,7853.0,Continuing,Clare,12182,4,Clare
"McInerney, Rita",F,Fianna Fáil,2,2.0,3475.0,Continuing,Clare,12182,4,Clare
"Moroney, Matthew",M,Non-party,2,5.0,543.0,Continuing,Clare,12182,4,Clare
"Murphy, Paddy",M,Non-party,2,5.0,448.0,Continuing,Clare,12182,4,Clare
"Ní Chatháin, Caitríona",F,People Before Profit-Solidarity,2,15.0,835.0,Continuing,Clare,12182,4,Clare
"Nolan, Tom",M,Fine Gael,2,2.0,2141.0,Continuing,Clare,12182,4,Clare
"O'Donovan, Barry",M,Rabharta (Munster and Leinster),2,-87.0,0.0,Eliminated,Clare,12182,4,Clare
"Punch, Eddie",M,Independent Ireland,2,18.0,2601.0,Continuing,Clare,12182,4,Clare
"Tonge, Hilary",F,Social Democrats,2,25.0,2169.0,Continuing,Clare,12182,4,Clare
"Wynne, Violet-Anne",F,Non-party,2,6.0,316.0,Continuing,Clare,12182,4,Clare
"Carey, Leonora",F,Fine Gael,3,15.0,5269.0,Continuing,Clare,12182,4,Clare
"Cooney, Joe",M,Fine Gael,3,2.0,7580.0,Continuing,Clare,12182,4,Clare
"Crowe, Cathal",M,Fianna Fáil,3,11.0,8277.0,Continuing,Clare,12182,4,Clare
"Dillon, June",F,Aontú,3,3.0,2111.0,Continuing,Clare,12182,4,Clare
"Dooley, Timmy",M,Fianna Fáil,3,21.0,11340.0,Continuing,Clare,12182,4,Clare
"Garvey, Róisín",F,Green Party,3,21.0,3802.0,Continuing,Clare,12182,4,Clare
"Hassett, Kevin",M,Non-party,3,5.0,680.0,Continuing,Clare,12182,4,Clare
